threads,execution_time,speedup,efficiency 
1,1.222,1.0,1.0
2,0.663,1.84,0.92
4,0.38,3.22,0.81
8,0.26,4.7,0.59
16,0.226,5.41,0.34
32,0.22,5.55,0.17
