threads,execution_time,speedup,efficiency 
1,2.454,1.0,1.0
2,1.343,1.83,0.92
4,0.736,3.33,0.83
8,0.591,4.15,0.52
16,0.462,5.31,0.33
32,0.43,5.71,0.18
