threads,execution_time,speedup,efficiency 
1,2.502,1.0,1.0
2,1.287,1.94,0.97
4,0.73,3.43,0.86
8,0.53,4.72,0.59
16,0.455,5.5,0.34
32,0.443,5.65,0.18
